hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"Resort Hotel",2017-01-06,43,5,11.6279
"Resort Hotel",2017-01-07,38,7,18.4211
"Resort Hotel",2017-01-08,29,5,17.2414
"Resort Hotel",2017-01-09,32,5,15.6250
"Resort Hotel",2017-01-10,35,2,5.7143
"Resort Hotel",2017-01-11,24,8,33.3333
"Resort Hotel",2017-01-12,42,5,11.9048
"Resort Hotel",2017-01-13,22,3,13.6364
"Resort Hotel",2017-01-14,75,14,18.6667
"Resort Hotel",2017-01-15,18,1,5.5556
"Resort Hotel",2017-01-16,132,18,13.6364
"Resort Hotel",2017-01-17,38,5,13.1579
"Resort Hotel",2017-01-18,29,2,6.8966
"Resort Hotel",2017-01-19,52,7,13.4615
"Resort Hotel",2017-01-20,24,8,33.3333
"Resort Hotel",2017-01-21,46,2,4.3478
"Resort Hotel",2017-01-22,24,4,16.6667
"Resort Hotel",2017-01-23,32,6,18.7500
"Resort Hotel",2017-01-24,35,3,8.5714
"Resort Hotel",2017-01-25,41,2,4.8780
"Resort Hotel",2017-01-26,54,4,7.4074
"Resort Hotel",2017-01-27,79,12,15.1899
"Resort Hotel",2017-01-28,61,20,32.7869
"Resort Hotel",2017-01-29,35,4,11.4286
"Resort Hotel",2017-01-30,58,8,13.7931
"Resort Hotel",2017-01-31,34,4,11.7647
"Resort Hotel",2017-02-01,35,5,14.2857
